filename,notes,authors,licenses,urls
body/bodies/teen/light.png,"see details at https://opengameart.org/content/lpc-character-bases; 'Thick' Male Revised Run/Climb by JaidynReiman (based on ElizaWy's LPC Revised)","bluecarrot16,Evert,TheraHedwig,Benjamin K. Smith (BenCreating),MuffinElZangano,Durrani,Pierre Vigier (pvigier),Eliza Wyatt (ElizaWy),Matthew Krohn (makrohn),Johannes Sjölund (wulax),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-ladies,https://opengameart.org/content/lpc-teen-unisex-base-clothes,https://opengameart.org/content/lpc-jump-expanded,https://opengameart.org/content/lpc-revised-character-basics,https://opengameart.org/content/lpc-be-seated,https://gitlab.com/vagabondgame/lpc-characters,https://opengameart.org/content/lpc-male-jumping-animation-by-durrani,https://opengameart.org/content/lpc-jump-expanded"
body/wings/monarch/base/fg/sky.png,"In dedication to my grandmother, Sharon Rowe","The Foreman","OGA-BY 4.0,CC-BY-SA 4.0","https://opengameart.org/content/lpc-fairy-wings"
body/wings/monarch/base/bg/sky.png,"In dedication to my grandmother, Sharon Rowe","The Foreman","OGA-BY 4.0,CC-BY-SA 4.0","https://opengameart.org/content/lpc-fairy-wings"
body/wings/monarch/edge/fg/sky.png,"In dedication to my grandmother, Sharon Rowe","The Foreman","OGA-BY 4.0,CC-BY-SA 4.0","https://opengameart.org/content/lpc-fairy-wings"
body/wings/monarch/edge/bg/sky.png,"In dedication to my grandmother, Sharon Rowe","The Foreman","OGA-BY 4.0,CC-BY-SA 4.0","https://opengameart.org/content/lpc-fairy-wings"
body/wings/monarch/dots/fg/rose.png,"In dedication to my grandmother, Sharon Rowe","The Foreman","OGA-BY 4.0,CC-BY-SA 4.0","https://opengameart.org/content/lpc-fairy-wings"
body/wings/monarch/dots/bg/rose.png,"In dedication to my grandmother, Sharon Rowe","The Foreman","OGA-BY 4.0,CC-BY-SA 4.0","https://opengameart.org/content/lpc-fairy-wings"
head/heads/human/female_small/light.png,"original head by Redshrike, reduced size head by ElizaWy","ElizaWy,Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY",""
head/faces/female/neutral/light.png,"Original by Redshrike, Expressions by ElizaWy, mapped to all frames by JaidynReiman","JaidynReiman,ElizaWy,Stephen Challener (Redshrike)","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Head,https://opengameart.org/content/ulpc-expanded-expressions"
eyes/human/adult/neutral/red.png,"original by Redshrike, mapped to all frames by Matthew Krohn & JaidynReiman","JaidynReiman,Matthew Krohn (makrohn),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles"
head/ears/elven/adult/light.png,"adapted to v3 base by bluecarrot16; expanded to other animations and child by JaidynReiman","JaidynReiman,bluecarrot16,Thane Brimhall (pennomi),laetissima,Matthew Krohn (makrohn),JaidynReiman","GPL 3.0,CC-BY-SA 3.0","https://opengameart.org/content/lpc-base-character-expressions,http://opengameart.org/content/lpc-clothing-updates"
hair/relm_xlong/adult/fg/rose.png,"","JaidynReiman","OGA-BY 3.0+,CC-BY 3.0+,GPL 3.0","https://opengameart.org/content/lpc-expanded-xlong-hair"
hair/relm_xlong/adult/bg/rose.png,"","JaidynReiman","OGA-BY 3.0+,CC-BY 3.0+,GPL 3.0","https://opengameart.org/content/lpc-expanded-xlong-hair"
head/horns/backwards/adult/fg/raven.png,"","Nila122","OGA-BY 3.0,GPL 3.0,CC-BY-SA 3.0","https://opengameart.org/content/lpc-lizard-headgear"
head/horns/backwards/adult/bg/raven.png,"","Nila122","OGA-BY 3.0,GPL 3.0,CC-BY-SA 3.0","https://opengameart.org/content/lpc-lizard-headgear"
facial/earrings/moon/female/bronze.png,"","bluecarrot16","CC0","https://opengameart.org/content/lpc-jewelry"
neck/necklace/simple/female/brass.png,"","bluecarrot16","CC0","https://opengameart.org/content/lpc-jewelry"
bauldron/female/leather.png,"","Nila122","GPL 2.0,GPL 3.0,OGA-BY 3.0,CC-BY-SA 3.0","https://opengameart.org/content/more-lpc-clothes-and-hair"
torso/clothes/longsleeve/longsleeve2_cardigan/teen/bluegray.png,"original by ElizaWy; spellcast/thrust/shoot/hurt adapted from original by JaidynReiman","ElizaWy,JaidynReiman,Stephen Challener (Redshrike),Johannes Sjölund (wulax)","OGA-BY 3.0","http://opengameart.org/content/lpc-revised-character-basics,https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing,https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
torso/aprons/overalls/teen/rose.png,"original overalls by ElizaWy, extended to all animation frames, adapted from teen to male base, and edited for v3 bases by bluecarrot16; extended to combat animations by JaidynReiman","ElizaWy,bluecarrot16,JaidynReiman","OGA-BY 3.0,GPL 3.0","https://opengameart.org/content/lpc-revised-character-basics,http://opengameart.org/content/lpc-clothing-updates"
feet/sandals/thin/sky.png,"edited for v3 bases by bluecarrot16, Jump/Sit/Emote/Run/Revised Combat by JaidynReiman","Nila122,JaidynReiman,Matthew Krohn (makrohn),Johannes Sjölund (wulax)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 2.0,GPL 3.0","https://opengameart.org/content/lpc-roman-armor,http://opengameart.org/content/lpc-clothing-updates,https://opengameart.org/content/lpc-expanded-socks-shoes"
weapon/magic/gnarled/universal/foreground/dark.png,"","bluecarrot16","OGA-BY 3.0+,GPL 3.0,CC-BY 4.0","https://opengameart.org/content/lpc-more-weapons"
weapon/magic/gnarled/universal/background/dark.png,"","bluecarrot16","OGA-BY 3.0+,GPL 3.0,CC-BY 4.0","https://opengameart.org/content/lpc-more-weapons"
weapon/magic/gnarled/thrust/foreground/dark.png,"","bluecarrot16","OGA-BY 3.0+,GPL 3.0,CC-BY 4.0","https://opengameart.org/content/lpc-more-weapons"
